# EPA eGRID2023 Revision 2 PLNT23 extract. 17 USC 105.
# Official plant population, all 27 eGRID subregions.
# Columns: orispl, subregion, net_gen_mwh (PLNGENAN), co2_tons (PLCO2AN).
# Blank PLCO2AN stored as 0 so zero-carbon plants stay in the denominator.
# Negative PLNGENAN kept (Rev 2 correction). Plants with blank PLNGENAN omitted.
# Source: egrid2023_data_rev2.xlsx PLNT23, released 2025-06-12.
orispl,subregion,net_gen_mwh,co2_tons
10144,CAMX,87871,0
10156,CAMX,2761,1070.518
10162,CAMX,3037,0
10169,CAMX,34839,17986.569
10175,CAMX,26712.999,11373.813
10191,CAMX,12609,0
10206,CAMX,46005,16316.149
10213,CAMX,1154658.86,702136.197
10222,CAMX,0,0
10253,CAMX,18534,0
10262,CAMX,15825,5151.669
10282,CAMX,10056,0
10294,CAMX,56381,26279.774
10342,CAMX,624226,219641.721
10349,CAMX,15369,20928.258
10387,CAMX,23194.999,0
10405,CAMX,4576,2727.565
10427,CAMX,246430,167006.236
10437,CAMX,56727,0
10438,CAMX,32578,0
10444,CAMX,100820,0
10446,CAMX,109177,0
10458,CAMX,82826,0
10472,CAMX,164119,0
10479,CAMX,104045.001,0
10480,CAMX,57681,0
10481,CAMX,62321.001,0
10496,CAMX,195429,66184.87
10548,CAMX,26230,11277.686
10586,CAMX,125098,0
10597,CAMX,31064,0
10649,CAMX,47775,18853.352
10650,CAMX,24812,9632.169
10652,CAMX,186654,8144.503
10661,CAMX,5997,0
10684,CAMX,244809.46,138725.13
10706,CAMX,6200,0
10707,CAMX,14365,0
10708,CAMX,5474,0
10709,CAMX,3034,0
10718,CAMX,29219,0
10720,CAMX,8762.18,4697.19
10748,CAMX,34022,0
10767,CAMX,145082,7002.155
10772,CAMX,146628,3327.11
10776,CAMX,5687,3350.882
10777,CAMX,205097,985.662
10836,CAMX,172184,1113.687
10873,CAMX,425737,18902.727
10874,CAMX,363948.999,16159.35
10875,CAMX,277254.999,12310.134
10880,CAMX,11189,0
10881,CAMX,6523,0
10882,CAMX,17789,0
